연번,단속장소,위반내용,견인료,견인일자
1376,서울특별시 양천구 신정동 1107,보도 중앙,"40,000",2023-05-11 00:53
1377,서울특별시 양천구 신월동 497-2,보도와 차도가 구분된 도로의 차도,"40,000",2023-05-11 11:03
1378,서울특별시 양천구 신월동 497-3,보도 중앙,"40,000",2023-05-12 03:59
1379,서울특별시 양천구 신월동 874,보도 중앙,"40,000",2023-05-11 15:44
1380,서울특별시 양천구 신월동 876,보도와 차도가 구분된 도로의 차도,"40,000",2023-05-11 11:59
1381,서울특별시 양천구 신월동 497-1,"횡단보도, 산책로 등","40,000",2023-05-11 12:14
1382,서울특별시 양천구 신월동 497-1,"횡단보도, 산책로 등","40,000",2023-05-11 12:19
1383,서울특별시 양천구 목동 766-20,보도 중앙,"40,000",2023-05-12 00:02
1384,서울특별시 양천구 목동 917-3,자전거 도로,"40,000",2023-05-12 10:56
1385,서울특별시 양천구 목동 863,보도 중앙,"40,000",2023-05-13 22:40
1386,서울특별시 양천구 목동 920-2,보도 중앙,"40,000",2023-05-13 17:47
1387,서울특별시 양천구 신정동 326,보도 중앙,"40,000",2023-05-14 02:03
1388,서울특별시 양천구 신월동 877,"횡단보도, 산책로 등","40,000",2023-05-15 11:54
1389,서울특별시 양천구 목동 917-3,"버스정류장, 택시 승강장","40,000",2023-05-15 11:29
1390,서울특별시 양천구 목동 915,자전거 도로,"40,000",2023-05-15 11:13
1391,서울특별시 양천구 목동 916-2,"횡단보도, 산책로 등","40,000",2023-05-15 12:29
1392,서울특별시 양천구 신정동 1065,보도와 차도가 구분된 도로의 차도,"40,000",2023-05-15 11:51
1393,서울특별시 양천구 신월동 890,보도 중앙,"40,000",2023-05-15 20:19
1394,서울특별시 양천구 목동 837,보도 중앙,"40,000",2023-05-16 15:52
1395,서울특별시 양천구 목동 907-21,보도 중앙,"40,000",2023-05-17 17:14
1396,서울특별시 양천구 목동 914-9,자전거 도로,"40,000",2023-05-18 11:44
